UFID|UF_SECURITY_FLG|UF_PROTECT_FLG|UF_PUBLISH_FLG
80065050|N|N|Y
80065080|N|N|Y
80065090|N|N|N
80065100|N|N|N
80065296|N|N|Y
80065340|N|N|N
80065350|N|N|N
80065441|N|N|N
80065450|N|N|N
80065681|N|N|Y
80065700|N|N|N
80065837|N|N|Y
80065861|N|N|N
80065960|N|N|N
80066030|N|N|N
80066140|N|N|N
80066143|N|N|N
80066173|N|N|Y
80066199|N|N|Y
80066281|N|N|N
80066300|N|N|N
80066326|N|N|Y
80066336|N|N|Y
80066358|N|N|Y
80066370|N|N|Y
80066378|N|N|Y
80066424|N|N|Y
80066428|N|N|N
80066580|N|N|N
80066638|N|N|Y
80066701|N|N|N
80066830|N|N|Y
80066919|N|N|Y
80066946|N|N|Y
80066970|N|N|N
80066996|N|N|Y
80067110|N|N|N
80067121|N|N|N
80067167|N|N|Y
80067200|N|N|N
80067248|N|N|Y
80067430|N|N|N
80067450|N|N|N
80067460|N|N|Y
80067541|N|N|N
80067600|N|N|Y
80067693|N|N|Y
80067721|N|N|N
80067740|N|N|N
80067841|N|N|Y
80067910|N|N|Y
80067961|N|N|N
80068000|N|N|N
80068001|N|N|Y
80068083|N|N|Y
80068180|N|N|N
80068300|N|N|N
80068381|N|N|N
80068464|N|N|N
80068542|N|N|Y
80068653|N|N|Y
80068801|N|N|N
80068872|N|N|Y
80068914|N|N|Y
80068969|N|N|Y
80069000|N|N|N
80069010|N|N|N
80069050|N|N|N
80069057|N|N|Y
80069080|N|N|N
80069083|N|N|Y
80069090|N|N|N
80069150|N|N|N
80069169|N|N|Y
80069200|N|N|N
80069221|N|N|N
80069299|N|N|N
80069332|N|N|Y
80069396|N|N|Y
80069563|N|N|Y
80069585|N|N|Y
80069590|N|N|N
80069600|N|N|N
80069624|N|N|Y
80069629|N|N|Y
80069641|N|N|N
80069649|N|N|Y
80069669|N|N|Y
80069686|N|N|N
80069890|N|N|N
80069940|N|N|N
80069999|N|N|Y
80070061|N|N|N
80070139|N|N|Y
80070160|N|N|N
80070165|N|N|Y
80070258|N|N|Y
80070481|N|N|N
80070579|N|N|Y
80070590|N|N|N
80070660|N|N|Y
80070706|N|N|Y
80070877|N|N|N
80070882|N|N|Y
80070901|N|N|N
80071022|N|N|Y
80071030|N|N|Y
80071210|N|N|Y
80071247|N|N|Y
80071321|N|N|N
80071381|N|N|Y
80071398|N|N|Y
80071450|N|N|N
80071621|N|N|Y
80071625|N|N|Y
80071682|N|N|N
80071741|N|N|N
80071757|N|N|Y
80071783|N|N|Y
80071788|N|N|Y
80071830|N|N|N
80071870|N|N|Y
80071908|N|N|Y
80071915|N|N|Y
80071940|N|N|N
80071998|N|N|Y
80072161|N|N|N
80072190|N|N|N
80072197|N|N|Y
80072240|N|N|N
80072329|N|N|Y
80072368|N|N|Y
80072455|N|N|N
80072491|N|N|N
80072581|N|N|N
80072600|N|N|N
80072630|N|N|N
80072810|N|N|N
80072860|N|N|N
80072870|N|N|N
80073001|N|N|Y
80073011|N|N|Y
80073111|N|N|Y
80073411|N|N|Y
80073421|N|N|N
80073680|N|N|N
80073720|N|N|N
80073740|N|N|N
80073841|N|N|N
80073850|N|N|Y
80073854|N|N|Y
80073910|N|N|Y
80073952|N|N|Y
80073970|N|N|N
80073990|N|N|N
80074033|N|N|N
80074060|N|N|N
80074160|N|N|N
80074261|N|N|N
80074340|N|N|N
80074493|N|N|Y
80074597|N|N|Y
80074600|N|N|N
80074681|N|N|N
80074770|N|N|N
80074910|N|N|N
80074930|N|N|Y
80075034|N|N|Y
80075101|N|N|N
80075170|N|N|N
80075190|N|N|N
80075340|N|N|Y
80075470|N|N|N
80075521|N|N|N
80075575|N|N|Y
80075611|N|N|N
80075740|N|N|N
80075941|N|N|N
80075980|N|N|N
80076083|N|N|Y
80076116|N|N|Y
80076200|N|N|N
80076290|N|N|N
80076361|N|N|N
80076410|N|N|Y
80076490|N|N|N
80076590|N|N|N
80076657|N|N|Y
80076781|N|N|N
80076826|N|N|Y
80076930|N|N|N
80077110|N|N|N
80077150|N|N|N
80077160|N|N|N
80077171|N|N|Y
80077189|N|N|N
80077198|N|N|Y
80077201|N|N|N
80077241|N|N|Y
80077420|N|N|Y
80077440|N|N|Y
80077569|N|N|Y
80077621|N|N|N
80077680|N|N|N
80077710|N|Y|N
80077739|N|N|Y
80077920|N|N|Y
80077950|N|N|N
80078041|N|N|N
80078141|N|N|Y
80078200|N|N|N
80078280|N|N|N
80078312|N|N|Y
80078461|N|N|N
80078500|N|N|N
80078591|N|N|Y
80078646|N|N|Y
80078710|N|N|N
80078767|N|N|N
80078821|N|N|Y
80078881|N|N|N
80078970|N|N|N
80078975|N|N|Y
80079042|N|N|Y
80079055|N|N|Y
80079290|N|N|N
80079301|N|N|N
80079362|N|N|Y
80079380|N|N|N
80079420|N|N|N
80079450|N|N|N
80079489|N|N|Y
80079640|N|N|N
80079721|N|N|N
80079780|N|N|Y
80079798|N|N|Y
80079830|N|N|N
80079903|N|N|Y
80079930|N|N|Y
80079970|N|N|N
80079980|N|N|N
80080040|N|N|N
80080129|N|N|Y
80080141|N|N|N
80080160|N|N|N
80080270|N|N|N
80080344|N|N|N
80080345|N|N|N
80080420|N|N|N
80080440|N|N|N
80080444|N|N|Y
80080541|N|N|Y
80080561|N|N|N
80080572|N|N|Y
80080850|N|N|N
80080981|N|N|N
